App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
TwitCasting Live,26,3.6,14835,0.0,1000000,0,0.0,3,36,2018-08-02,0,0.0
LA Times: Your California News,20,3.6,3311,10.0,100000,0,0.0,0,26,2018-04-24,4,4.2
Crazy Freekick,27,3.9,47688,17.0,5000000,0,0.0,0,37,2016-05-18,1,2.3
TeachersPayTeachers,7,3.8,828,0.0,100000,0,0.0,0,13,2017-10-01,0,0.0
EZ Usenet for Easynews®,30,3.9,244,0.0,10000,0,0.0,0,42,2016-06-23,0,0.0
Z Day: Hearts of Heroes,10,3.9,5894,67.0,1000000,0,0.0,1,38,2018-07-11,1,4.029999999999999
myAT&T,24,3.7,80816,0.0,50000000,0,0.0,0,30,2018-07-18,0,5.0
FarmersOnly Dating,6,3.0,1146,1.4,100000,0,0.0,2,12,2016-02-25,2,4.0
BEBONCOOL GAMEPAD V1.0,13,3.9,404,2.2,100000,0,0.0,0,2,2017-08-30,1,4.0
"Job CV Maker-Portfolio Maker , Resume Maker",10,3.9,139,4.8,50000,0,0.0,0,13,2018-07-16,2,4.029999999999999
Howlr,6,3.9,105,27.0,5000,0,0.0,2,12,2018-06-19,1,4.4
Droid Zap by Motorola,30,3.8,2093,0.0,5000000,0,0.0,0,42,2015-02-03,0,0.0
Circle ratio,18,3.7,10562,60.0,1000000,0,0.0,0,23,2018-08-03,04,4.4
Pregnant Emergency Surgery,10,3.8,127229,34.0,10000000,0,0.0,0,9,2017-09-07,1,4.0
Larry H Miller Automotive,24,3.1,67,8.3,10000,0,0.0,0,30,2018-07-18,3,4.029999999999999
SnowMobile Parking Adventure,13,3.6,12257,49.0,1000000,0,0.0,0,32,2016-09-09,1,2.3
I Am Rich,10,3.6,217,4.9,10000,1,389.99,0,15,2018-06-22,1,4.2
Math games for kids : times tables - AB Math,10,3.9,2371,8.3,500000,0,0.0,0,14,2018-07-27,3,4.029999999999999
Preferences Manager and SQLite DB Viewer,28,3.5,13,3.0,1000,0,0.0,0,39,2017-07-18,1,4.0
Check Vehicle Tax,1,3.9,295,2.7,10000,0,0.0,0,4,2018-07-30,0,4.4
Hypertension Hi blood pressure,19,3.8,292,2.7,100000,0,0.0,0,24,2018-04-16,43,4.029999999999999
RetroArch,13,3.8,21423,84.0,1000000,0,0.0,0,0,2018-05-04,1,2.3
J.ME Fly,10,3.9,28,98.0,1000,0,0.0,0,15,2018-05-31,0,4.4
Smart Wi-Fi Hotspot PRO,5,3.7,197,0.957,10000,1,2.99,0,11,2016-02-10,1,2.2
Rande.cz,26,3.2,398,2.2,50000,0,0.0,2,36,2014-12-03,1,2.33
Intesa Sanpaolo Mobile,11,3.6,35518,0.0,1000000,0,0.0,0,17,2018-07-02,0,0.0
"Freeform – Stream Full Episodes, Movies, & Live TV",10,3.7,29229,0.0,1000000,0,0.0,3,15,2018-08-06,0,0.0
World Webcams,31,3.7,7896,0.0,1000000,0,0.0,0,43,2013-11-25,1,0.0
Vimeo,10,3.9,85578,0.0,10000000,0,0.0,3,15,2018-08-01,0,0.0
"O Multiple - App Cloner, Duals APP, tarallel",28,3.9,145,5.2,50000,0,0.0,0,39,2018-05-15,1,4.1
Throw Knife,10,3.7,291,37.0,100000,0,0.0,0,35,2017-09-14,2,4.1
BI-LO,17,3.5,43,30.0,10000,0,0.0,0,22,2018-07-11,2,4.1
AC Remote for Samsung - NOW FREE,28,3.7,566,27.0,100000,0,0.0,0,39,2018-07-30,6,4.2
Vegetable Fun,21,3.9,3182,46.0,1000000,0,0.0,0,27,2018-06-15,8,4.029999999999999
EZ Utilities Extension,28,3.9,33,0.473,5000,0,0.0,0,39,2016-05-05,9,6.0
CHRONO TRIGGER (Upgrade Ver.),10,3.8,11250,6.3,100000,1,9.99,1,33,2018-06-12,2,4.2
Good room network fast rent,15,3.7,2758,8.6,500000,0,0.0,0,20,2018-06-25,4,4.0
DS Barometer - Altimeter and Weather Information,31,3.9,2962,4.2,100000,0,0.0,0,43,2018-07-09,3,2.33
Ek Kahani Aisi Bhi Season 3 - The Horror Story,10,3.0,1,5.8,100,0,0.0,3,15,2018-07-21,1,5.0
Q Wunder,10,3.8,156,43.0,10000,0,0.0,0,13,2018-06-30,2,4.1
MYCU TX Mobile Banking,11,3.0,4,0.0,100,0,0.0,0,17,2018-08-01,1,0.0
CX_WiFiUFO,27,3.7,818,5.3,100000,0,0.0,0,37,2016-06-08,4,4.0
BL Driver,18,3.9,230,12.0,10000,0,0.0,0,23,2018-07-13,2,4.1
EZ View,3,3.0,287,9.8,50000,0,0.0,0,7,2015-10-26,1,4.0
du app,17,3.5,7578,25.0,1000000,0,0.0,0,22,2018-07-24,3,4.2
BQ Scanner,28,3.0,2,2.7,100,0,0.0,0,39,2017-10-10,1,4.4
How to draw Ladybug and Cat Noir,0,3.8,564,9.2,100000,0,0.0,0,3,2018-07-11,2,4.1
BN Pro LcdD-b HD Text,16,3.9,131,0.429,10000,0,0.0,0,21,2017-02-05,2,1.6
AC Remote For LG,28,3.0,1298,3.4,100000,0,0.0,0,39,2018-02-20,1,4.0
HTC Service － DLNA,30,3.9,3484,3.0,10000000,0,0.0,0,42,2015-12-03,7,5.0
Neighborhoods & Apartments,17,3.9,2042,3.0,100000,0,0.0,0,22,2015-08-28,3,4.0
Crackle - Free TV & Movies,8,3.7,388089,0.0,10000000,0,0.0,3,15,2018-04-12,0,0.0
Moven - Smart Finances,11,3.8,861,17.0,100000,0,0.0,0,17,2018-05-29,3,4.4
FANDOM for: GTA,10,3.9,39038,9.5,5000000,0,0.0,2,15,2018-06-06,2,4.4
Deep Sleep Battery Saver Pro,28,3.9,1417,2.9,10000,1,3.28,0,39,2017-08-15,5,4.1
Moto LED for Moto X & E [Root],17,3.4,4082,0.318,500000,0,0.0,0,22,2014-10-16,1,4.2
BSPlayer,30,4.2,4585,0.0,50000,1,5.99,0,42,2018-03-30,0,0.0
Baldur's Gate II,10,4.3,5442,16.0,50000,1,9.99,3,33,2018-06-28,2,3.0
Smart File Manager,24,4.2,17415,4.1,1000000,0,0.0,0,30,2018-07-05,3,4.0
La Liga - Spanish Soccer League Official,27,4.5,180938,29.0,10000000,0,0.0,0,37,2018-07-24,6,4.029999999999999
Tiny Flashlight + LED,28,4.4,4254879,0.0,100000000,0,0.0,0,39,2018-07-08,0,0.0
Princess Palace: Royal Pony,10,4.4,11442,66.0,1000000,0,0.0,0,14,2016-06-30,1,2.3
Cx File Explorer,28,4.7,175,4.3,10000,0,0.0,0,39,2018-07-28,1,5.0
Golden Launcher,22,4.4,32794,12.0,5000000,0,0.0,0,28,2018-07-31,1,4.2
CP Clicker,17,4.2,251,5.0,10000,0,0.0,0,22,2018-03-22,3,4.1
Ek Maratha,26,4.8,725,3.7,10000,0,0.0,3,36,2016-10-12,7,2.2
Do It Later: Tasks & To-Dos,24,4.5,123412,0.0,50000000,0,0.0,0,30,2018-04-13,0,0.0
GLASS GO Launcher EX Theme,22,4.2,18280,6.0,1000000,0,0.0,0,28,2015-01-08,1,1.6
Dungeon Boss – Strategy RPG,10,4.4,218881,37.0,5000000,0,0.0,1,33,2018-03-28,0,4.029999999999999
Slickdeals: Coupons & Shopping,25,4.5,33583,12.0,1000000,0,0.0,0,34,2018-07-30,3,4.4
Hausa Radio,20,4.4,3375,4.2,100000,0,0.0,0,26,2018-07-31,4,4.1
join.me - Simple Meetings,3,4.0,6989,0.0,1000000,0,0.0,0,7,2018-07-16,4,4.4
Google Ads,3,4.3,29313,20.0,5000000,0,0.0,0,7,2018-07-30,1,4.029999999999999
Quick PDF Scanner + OCR FREE,3,4.2,80804,0.0,5000000,0,0.0,0,7,2018-02-26,0,4.029999999999999
Denis Brogniart - AH !,10,4.5,2931,0.818,100000,0,0.0,0,15,2017-08-04,1,4.2
Deep Sleep and Relax Hypnosis,19,4.2,4852,34.0,100000,0,0.0,0,24,2013-10-22,1,2.2
Font Studio- Photo Texts Image,23,4.2,197295,24.0,10000000,0,0.0,0,29,2017-06-23,4,4.0
CJ WOW SHOP,25,4.2,2099,4.0,100000,0,0.0,0,34,2017-12-23,1,4.029999999999999
I Can't Wake Up!,28,4.7,963,3.7,10000,1,2.99,0,39,2018-05-25,3,4.0
Guide for CS:GO,10,4.4,16459,88.0,500000,0,0.0,0,15,2017-07-15,3,2.3
Dezeen Magazine RSS Reader,20,4.3,350,14.0,10000,0,0.0,0,26,2018-07-22,3,4.2
learn c in hindi,10,4.3,109,2.7,5000,0,0.0,0,13,2017-06-24,4,4.0
Home Scouting® MLS Mobile,17,4.3,1533,7.7,100000,0,0.0,0,22,2016-09-27,2,2.2
BK Photography,23,4.3,20,4.8,1000,0,0.0,0,29,2017-01-06,0,2.3
"KVAD Camera +: Selfie, Photo Filter, Grids",23,4.1,23440,30.0,1000000,0,0.0,0,29,2018-07-11,1,4.0
Tumblr,26,4.4,2953886,0.0,100000000,0,0.0,2,36,2018-08-01,0,0.0
Journal Club: Medicine,19,4.8,216,0.0,10000,1,6.99,0,24,2017-06-17,0,0.0
Bubble Bird Rescue,10,4.2,70753,14.0,5000000,0,0.0,0,31,2018-08-07,1,4.029999999999999
"Mappy - Plan, route comparison, GPS",18,4.1,15922,0.0,1000000,0,0.0,0,23,2018-07-26,0,0.0
"Priceline Hotel Deals, Rental Cars & Flights",29,4.4,48930,15.0,5000000,0,0.0,0,40,2018-07-26,4,4.4
Meetup,26,4.2,79129,23.0,5000000,0,0.0,3,36,2018-08-02,3,4.4
Drink-O-Tron The Drinking Game,13,4.1,140,45.0,50000,0,0.0,2,8,2017-05-31,1,4.029999999999999
FG On-The-Go,28,4.9,55,25.0,1000,0,0.0,0,39,2018-06-29,2,4.1
Real Racing 3,10,4.5,354384,71.0,10000000,0,0.0,0,32,2018-07-02,6,4.1
"Shutterfly: Free Prints, Photo Books, Cards, Gifts",23,4.6,98716,59.0,5000000,0,0.0,0,29,2018-08-01,5,5.0
3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,10,4.2,449,56.0,10000,0,0.0,3,9,2018-02-16,1,4.0
Dr. Oetker recipe ideas,12,4.2,8509,17.0,1000000,0,0.0,0,18,2018-07-12,3,4.029999999999999
"edX - Online Courses by Harvard, MIT & more",7,4.6,32380,10.0,1000000,0,0.0,1,13,2018-07-15,2,4.1
Extreme Racing 2 - Real driving RC cars game!,10,4.3,4207,93.0,500000,0,0.0,0,32,2017-08-31,1,4.1
CI Screwed - Icon Pack,22,4.7,19,6.4,1000,0,0.0,0,28,2016-06-30,1,4.029999999999999
Airway Ex - Intubate. Anesthetize. Train.,19,4.3,123,86.0,10000,0,0.0,0,24,2018-06-01,0,5.0
Czech Public Transport IDOS,18,4.3,26014,7.7,1000000,0,0.0,0,23,2017-11-06,2,4.029999999999999
COOKING MAMA Let's Cook!,10,4.3,528745,59.0,10000000,0,0.0,0,14,2018-07-26,1,4.1
Angry Birds Epic RPG,10,4.5,2634605,63.0,10000000,0,0.0,0,33,2018-07-18,3,4.4
H*nest Meditation,17,4.9,145,48.0,5000,1,1.99,2,22,2016-04-07,1,4.029999999999999
Home Workout - No Equipment,14,4.8,428156,15.0,10000000,0,0.0,0,19,2018-06-28,0,0.0
Teacher's Gradebook - Additio,7,4.2,3241,16.0,100000,0,0.0,0,13,2018-08-01,4,4.029999999999999
JetBlue,29,4.4,24281,29.0,1000000,0,0.0,0,40,2018-07-25,4,4.4
aCalendar - Android Phone,24,4.4,80119,0.0,10000000,0,0.0,0,30,2018-06-25,0,0.0
"Fabulous: Motivate Me! Meditate, Relax, Sleep",14,4.6,205299,31.0,5000000,0,0.0,0,19,2018-07-16,3,4.1
"TickTick: To Do List with Reminder, Day Planner",24,4.6,25370,0.0,1000000,0,0.0,0,30,2018-08-06,0,0.0
Identity V,13,4.2,109263,38.0,1000000,0,0.0,3,0,2018-07-10,1,4.1
Telegram,5,4.4,3128509,0.0,100000000,0,0.0,2,11,2018-07-27,0,0.0
Puffin Web Browser,5,4.3,541389,0.0,10000000,0,0.0,0,11,2018-07-09,7,4.1
SHAREit - Transfer & Share,28,4.6,7790693,17.0,500000000,0,0.0,0,39,2018-07-30,4,4.1
Arabic Alif Ba Ta For Kids,10,4.5,226,26.0,100000,0,0.0,0,13,2017-05-30,1,2.3
CP Calculator,10,4.1,187,2.9,10000,0,0.0,0,15,2016-09-13,3,4.1
Mobizen Screen Recorder for SAMSUNG,30,4.4,953894,37.0,10000000,0,0.0,0,42,2018-04-26,3,0.0
"Carousell: Snap-Sell, Chat-Buy",25,4.3,125783,0.0,10000000,0,0.0,3,34,2018-08-06,0,0.0
Simple - Better Banking,11,4.4,7731,24.0,100000,0,0.0,0,17,2018-08-02,2,5.0
"Stickers for Imo, fb, whatsapp",26,4.4,214,8.7,10000,0,0.0,3,36,2016-10-23,1,2.3
Block! Hexa Puzzle™,10,4.5,472247,0.0,50000000,0,0.0,0,31,2018-07-31,1,4.1
"Carousell: Snap-Sell, Chat-Buy",25,4.3,125783,0.0,10000000,0,0.0,3,34,2018-08-06,0,0.0
Hinge: Dating & Relationships,6,4.2,7779,12.0,500000,0,0.0,2,12,2018-08-03,6,5.0
50 Healthy Slow Cooker Recipes,12,4.0,196,9.0,10000,0,0.0,1,18,2017-02-17,1,2.33
"AOL - News, Mail & Video",20,4.1,62465,0.0,5000000,0,0.0,1,26,2018-08-02,0,0.0
slither.io,13,4.4,5231553,0.0,100000000,0,0.0,0,0,2017-11-14,0,2.3
Flipp - Weekly Shopping,25,4.6,85858,0.0,10000000,0,0.0,0,34,2018-07-30,0,0.0
LINE: Free Calls & Messages,5,4.2,10790289,0.0,500000000,0,0.0,0,11,2018-07-26,0,0.0
Berlin Subway – BVG U-Bahn & S-Bahn map and routes,18,4.4,509,17.0,100000,0,0.0,0,23,2018-06-06,1,5.0
Dr. Panda Art Class,10,4.2,1013,58.0,50000,1,2.99,0,13,2017-04-26,1,4.0
Beautiful Widgets Pro,22,4.2,97890,14.0,1000000,1,2.49,0,28,2016-08-24,5,2.3
Flipkart Online Shopping App,25,4.4,6012719,0.0,100000000,0,0.0,3,34,2018-08-06,0,0.0
Screen Off and Lock,28,4.1,172990,0.525,10000000,0,0.0,0,39,2017-12-02,1,2.2
Blur,23,4.0,9013,2.4,1000000,0,0.0,0,29,2018-06-18,4,4.4
How it Works: FN SCAR assault rifle,10,4.6,44,45.0,10000,0,0.0,0,9,2018-01-09,2,4.029999999999999
Pocket Yoga,14,4.4,2107,0.0,100000,1,2.99,0,19,2015-12-22,0,0.0
Apex Launcher,22,4.3,266402,0.0,10000000,0,0.0,0,28,2018-08-04,0,0.0
"My Handbook : EE, EC, EI, E&T, EEE, EECS",10,4.5,3776,7.7,100000,0,0.0,0,13,2017-07-24,8,4.0
Dubai Racing,13,4.2,16237,23.0,500000,0,0.0,0,32,2015-12-23,1,2.3
Baby Panda Musical Genius,21,4.0,3346,37.0,1000000,0,0.0,0,27,2018-06-15,8,4.029999999999999
AG Subway Simulator Lite,10,4.4,6738,56.0,100000,0,0.0,0,35,2018-06-08,1,4.1
Bo Aung Din,9,4.1,110,2.6,5000,0,0.0,3,16,2018-06-05,Version 1,4.029999999999999
BG Products,1,4.8,4,4.5,500,0,0.0,0,4,2017-11-28,1,5.0
Dog Run - Pet Dog Simulator,10,4.7,48701,24.0,10000000,0,0.0,0,35,2018-05-22,1,4.1
Koi Free Live Wallpaper,22,4.2,290241,4.1,50000000,0,0.0,0,28,2014-06-24,1,2.1
Kids Educational Game 3 Free,10,4.3,24936,38.0,5000000,0,0.0,0,14,2018-05-16,3,4.1
LIVE VIDEO TALK,6,4.7,478,4.5,10000,0,0.0,2,12,2018-06-28,8,4.029999999999999
Oxford Dictionary of English : Free,2,4.1,364452,7.1,10000000,0,0.0,0,6,2018-07-11,9,4.1
VLC for Android,30,4.4,1031045,0.0,100000000,0,0.0,0,42,2018-07-30,0,2.3
The Wall Street Journal: Business & Market News,20,4.1,40975,36.0,1000000,0,0.0,1,26,2018-08-02,4,4.1
iBP Blood Pressure,19,4.4,578,0.704,10000,1,0.99,0,24,2014-11-30,7,2.2
BL Community Icon Pack,22,4.0,289,2.7,10000,0,0.0,0,28,2013-05-06,1,2.1
Home Security Camera WardenCam - reuse old phones,15,4.3,43847,0.0,1000000,0,0.0,0,20,2018-07-06,0,0.0
Cops N Robbers,13,4.0,37789,58.0,1000000,0,0.0,3,1,2018-06-06,1,4.1
Free Fur All – We Bare Bears,10,4.2,256916,25.0,10000000,0,0.0,0,2,2015-10-08,1,4.0
"m, cm, mm to yard, feet, inch converter tool",28,4.3,246,2.8,100000,0,0.0,0,39,2018-02-06,1,4.0
CM AppLock,28,4.1,843,3.6,100000,0,0.0,0,39,2016-02-25,2,4.0
Gun Shoot War Q,13,4.2,26893,20.0,1000000,0,0.0,3,2,2017-03-01,1,2.3
LiveScore: Live Sport Updates,27,4.4,283662,0.0,10000000,0,0.0,0,37,2018-06-15,0,4.1
Sports Alerts - NFL edition,27,4.6,11549,0.0,100000,0,0.0,0,37,2018-07-07,0,0.0
Power Rangers: Legacy Wars,13,4.3,264755,91.0,10000000,0,0.0,3,0,2018-07-17,2,4.0
Dolphins Live Wallpaper,22,4.2,25807,5.5,1000000,0,0.0,0,28,2017-10-29,15,4.1
Quotes,16,4.4,58,15.0,10000,0,0.0,0,21,2018-07-06,1,4.029999999999999
Google Pay,11,4.2,347838,0.0,100000000,0,0.0,0,17,2018-07-26,2,0.0
"Chispa, the Dating App for Latino, Latina Singles",6,4.2,4195,24.0,100000,0,0.0,2,12,2018-07-25,1,4.4
English Grammar Test,10,4.6,104676,2.6,5000000,0,0.0,0,13,2018-07-18,1,4.0
Get Free V-bucks_fortnite Hints,10,4.7,1997,1.8,5000,0,0.0,0,15,2018-07-21,1,4.4
B612 - Beauty & Filter Camera,23,4.4,5282558,0.0,100000000,0,0.0,0,29,2018-07-30,7,4.3
Design Home,10,4.4,539931,69.0,10000000,0,0.0,0,35,2018-08-06,1,4.2
"Hily: Dating, Chat, Match, Meet & Hook up",6,4.1,2560,56.0,100000,0,0.0,2,12,2018-08-01,2,4.1
Theme for Iphone X Plus,22,4.0,126,8.0,10000,0,0.0,0,28,2017-10-19,1,2.33
Bhuiyan Land Records Chhattisgarh (CG),20,4.5,12,2.9,5000,0,0.0,0,26,2018-02-03,1,4.1
EMT Study - NREMT Test Prep,19,4.3,35,0.862,5000,1,3.99,0,24,2014-12-03,1,4.029999999999999
Deportivo Toluca FC,27,4.7,2317,5.9,50000,0,0.0,0,37,2018-07-26,2,5.0
All States Ag Parts,25,4.7,68,6.5,10000,0,0.0,0,34,2018-01-25,5,5.0
Google Allo,5,4.3,346980,0.0,10000000,0,0.0,0,11,2018-01-23,0,4.1
AP Mobile - Breaking News,20,4.5,76677,4.6,1000000,0,0.0,1,26,2017-05-25,4,4.0
Get 'Em,13,4.1,7904,21.0,500000,0,0.0,1,0,2016-10-26,1,4.029999999999999
Masha and the Bear. Educational Games,10,4.5,46369,33.0,10000000,0,0.0,0,14,2018-07-13,2,4.029999999999999
Google Duo - High Quality Video Calls,5,4.6,2083237,0.0,500000000,0,0.0,0,11,2018-07-31,37,4.4
Bedroom Decorating Ideas,15,4.0,2382,5.9,500000,0,0.0,0,20,2015-04-07,1,3.0
Scarf Fashion Designer,17,4.4,16637,10.0,1000000,0,0.0,0,22,2017-06-18,1,2.3
Calculator,28,4.3,40770,0.0,100000000,0,0.0,0,39,2017-11-21,0,0.0
"Moony Lab - Print Photos, Books & Magnets ™",23,4.7,1320,9.5,50000,0,0.0,0,29,2018-06-27,2,4.1
Knife Hit,13,4.5,462614,60.0,10000000,0,0.0,0,2,2018-05-22,1,4.029999999999999
Google Voice,5,4.2,171052,0.0,10000000,0,0.0,0,11,2018-08-03,0,0.0
Instachat 😜,26,4.0,80987,25.0,5000000,0,0.0,3,36,2018-07-30,2,4.4
Igitabo cy'Indirimbo,10,4.5,93,1.6,50000,0,0.0,0,15,2018-02-05,INDIRIMBO V,1.6
Cardinal Quest 2,10,4.4,19207,36.0,100000,0,0.0,0,33,2016-09-19,1,2.3
Hambo,13,4.4,125578,17.0,5000000,0,0.0,0,0,2015-07-06,1,2.1
Find a Way: Addictive Puzzle,10,4.8,39480,14.0,500000,0,0.0,0,31,2017-06-16,4,4.1
Nasty Goats,10,4.3,45579,64.0,1000000,0,0.0,0,2,2016-04-14,1,4.0
"CM Launcher 3D - Theme, Wallpapers, Efficient",22,4.6,6700847,17.0,100000000,0,0.0,3,28,2018-08-03,5,4.029999999999999
US Army Training Courses Game,10,4.1,27130,35.0,5000000,0,0.0,0,35,2017-12-08,1,2.3
Free games: Masha and the Bear,10,4.3,34514,60.0,5000000,0,0.0,0,31,2018-07-20,1,4.1
CheckPoints 🏆 Rewards App,25,4.1,23187,25.0,1000000,0,0.0,0,34,2018-06-21,4,4.3
TouchPal Keyboard - Fun Emoji & Android Keyboard,5,4.4,615381,37.0,10000000,0,0.0,2,11,2018-08-02,6,4.029999999999999
Amazon Prime Video,8,4.2,411683,24.0,50000000,0,0.0,3,15,2018-08-02,3,4.1
Be like Bill Generator,10,4.2,67,6.5,5000,0,0.0,3,15,2016-01-29,1,4.029999999999999
SignEasy | Sign and Fill PDF and other Documents,3,4.3,8978,0.0,1000000,0,0.0,0,7,2018-07-25,0,0.0
Android Messages,5,4.2,781810,0.0,100000000,0,0.0,0,11,2018-08-01,0,0.0
AW Screen Recorder No Root,30,4.3,1659,3.7,100000,0,0.0,0,42,2017-07-06,1,5.0
Puffin for Facebook,26,4.0,10743,0.0,500000,0,0.0,3,36,2017-12-28,7,4.1
WiFi-o-Matic,24,4.0,736,6.8,50000,0,0.0,0,30,2018-02-01,1,4.1
Calorie Counter & Diet Tracker,14,4.5,32606,0.0,1000000,0,0.0,0,19,2018-03-22,0,0.0
Theme Android P Black design for LG V30,22,4.4,8,6.2,100,1,1.49,0,28,2018-04-06,1,7.0
El Pollo Loco - Loco Rewards,12,4.0,848,25.0,100000,0,0.0,0,18,2018-02-23,2,4.1
Pregnancy Tracker,14,4.1,2681,6.5,500000,0,0.0,0,19,2018-02-10,37,4.029999999999999
FaceQ,10,4.4,591411,19.0,10000000,0,0.0,3,15,2017-05-16,3,3.0
"Mobile Security: Antivirus, Web Scan & App Lock",24,4.4,574719,20.0,10000000,0,0.0,0,30,2018-07-16,5,4.1
Free Panda Radio Music,2,4.5,418,4.2,100000,0,0.0,0,6,2018-03-27,2,4.1
AC - Tips & News for Android™,20,4.2,23292,14.0,1000000,0,0.0,1,26,2018-05-24,3,4.1
Euro Truck Driver (Simulator),10,4.4,860078,30.0,10000000,0,0.0,0,35,2018-02-15,1,4.1
Yahoo Fantasy Sports - #1 Rated Fantasy App,27,4.2,277900,0.0,5000000,0,0.0,2,37,2018-08-02,0,0.0
Yandex.Trains,18,4.4,56471,0.0,5000000,0,0.0,0,23,2018-07-31,0,0.0
Instant Ba-dum-tss,10,4.0,13,2.0,1000,0,0.0,0,15,2015-09-23,1,1.6
Ludo Dz,13,4.5,17,28.0,500,0,0.0,0,5,2017-08-27,1,4.1
"Groupon - Shop Deals, Discounts & Coupons",25,4.6,1370749,0.0,50000000,0,0.0,3,34,2018-08-03,0,0.0
IMDb Movies & TV,8,4.2,501498,12.0,100000000,0,0.0,3,15,2018-07-26,0,0.0
Deaf World DW,5,4.3,298,0.0,10000,0,0.0,3,11,2017-11-28,0,4.1
EF Calculator,24,4.7,19,0.0,1000,0,0.0,0,30,2017-09-20,1,0.0
Internet Speed Meter Lite,28,4.5,410303,0.0,10000000,0,0.0,0,39,2016-09-05,0,0.0
Bank Of Cyprus,11,4.1,1514,12.0,100000,0,0.0,0,17,2018-02-14,1,4.1
Next Launcher 3D Theme Hit-B,22,4.4,83,8.6,1000,1,1.7,0,28,2015-08-16,1,2.2
Duaa Ek Ibaadat,2,4.9,122,26.0,5000,0,0.0,0,6,2016-04-10,1,2.2
osmino Wi-Fi: free WiFi,28,4.2,134203,4.1,10000000,0,0.0,0,39,2018-08-07,6,4.4
Contacts,5,4.3,66602,0.0,50000000,0,0.0,0,11,2018-06-26,2,5.0
Camera for Android,23,4.2,240475,9.5,10000000,0,0.0,0,29,2017-11-22,3,4.0
Fever,9,4.0,20611,12.0,1000000,0,0.0,3,16,2018-07-18,4,4.1
8 Ball Pool,13,4.5,14201604,52.0,100000000,0,0.0,0,37,2018-07-31,4,4.029999999999999
FlirtChat - ♥Free Dating/Flirting App♥,6,4.3,2430,13.0,500000,0,0.0,2,12,2018-07-26,12,4.1
Camera ZOOM FX - FREE,23,4.0,88860,6.1,5000000,0,0.0,0,29,2017-04-06,6,2.3
Quran for Android,2,4.7,497826,0.0,10000000,0,0.0,0,6,2018-05-30,0,0.0
Kids Videos,21,4.1,559,6.4,100000,0,0.0,0,27,2018-05-20,1,4.1
All Mental disorders,19,4.5,453,11.0,100000,0,0.0,0,24,2017-07-07,1,4.029999999999999
PAC-MAN,13,4.2,685981,37.0,100000000,0,0.0,0,2,2018-05-15,6,4.1
"Mobizen Screen Recorder - Record, Capture, Edit",24,4.3,1827212,0.0,50000000,0,0.0,0,30,2018-07-31,3,4.4
Dialer theme G Black Gold,22,4.2,33,0.857,500,1,1.49,0,28,2016-01-01,2,4.0
Nasihat - Chalo ae Pyaara,10,4.7,557,6.7,10000,0,0.0,0,13,2015-10-09,1,2.1
mail.co.uk Mail,5,4.2,21,8.7,5000,0,0.0,0,11,2018-07-24,1,4.029999999999999
Contractor City Construction - Heavy Logistics,10,4.2,31,35.0,5000,0,0.0,0,35,2018-06-12,1,4.0
Farm Heroes Saga,13,4.4,7614415,70.0,100000000,0,0.0,0,9,2018-07-26,5,2.3
5 Minute Ab Workouts,14,4.6,2067,8.4,50000,0,0.0,0,19,2018-05-18,2,4.1
Digital Tourist BH Itinerary,29,4.6,19,14.0,500,0,0.0,0,40,2015-10-13,0,2.2
Dating for 50 plus Mature Singles – FINALLY,6,4.6,13049,13.0,500000,0,0.0,2,12,2018-07-31,4,4.1
Happy Fruits Bomb - Cube Blast,10,4.5,2150,20.0,500000,0,0.0,0,9,2018-02-01,1,4.029999999999999
BF Abstract 3d Pictures,10,4.2,72,2.5,10000,0,0.0,3,15,2015-06-18,5,3.0
AfterFocus,23,4.2,165224,15.0,10000000,0,0.0,0,29,2016-07-08,2,4.029999999999999
MediaFire,24,4.1,71432,3.8,5000000,0,0.0,0,30,2017-11-01,4,4.1
Helix Jump,13,4.2,1497361,33.0,100000000,0,0.0,0,0,2018-04-09,1,4.1
Paramedic Meds,19,4.5,163,0.375,10000,1,1.99,0,24,2015-08-03,3,1.6
BL Taxi,18,4.9,124,3.4,1000,0,0.0,0,23,2018-03-26,0,0.0
POF Free Dating App,26,4.2,1175815,0.0,50000000,0,0.0,2,36,2018-07-31,0,0.0
Black Commando | Special Ops | FPS Shooting,13,4.1,1167,72.0,100000,0,0.0,3,0,2018-05-03,1,4.1
Bowmasters,13,4.7,1535973,0.0,50000000,0,0.0,3,0,2018-07-23,2,4.1
BU Calculator,10,4.6,69,3.1,1000,0,0.0,0,13,2017-07-24,2,4.029999999999999
ASOS,25,4.7,181798,22.0,10000000,0,0.0,0,34,2018-07-30,4,4.4
Dr. Panda Town,10,4.0,36578,0.0,1000000,0,0.0,0,13,2018-08-03,0,0.0
Skype - free IM & video calls,5,4.1,10484169,0.0,1000000000,0,0.0,0,11,2018-08-03,0,0.0
B612 - Beauty & Filter Camera,23,4.4,5276983,0.0,100000000,0,0.0,0,29,2018-07-30,7,4.3
Fu*** Weather (Funny Weather),31,4.7,20001,0.0,1000000,0,0.0,2,43,2018-07-26,0,0.0
SAMSUNG RETAILMODE 2018,16,4.3,6,5.5,10000,0,0.0,0,21,2018-08-03,8,4.2
